会社名,銘柄コード,業種,優先市場,市場タイプ,決算月,都道府県,時価総額,PBR,PER(会予),PER(過去12ヶ月),PER(前年度),配当方向性,配当利回り,EPS(過去12ヶ月),EPS(予想),EPS(前年度),売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
シーイーシー,9692,情報・通信業,プライム（内国株式）,JP,2025-01-31,東京都,61047668736.0,1.503378,12.80943,14.83729,11.63667804708293,0.45529997,0.02948403,131.83,152.7,135.00000014864568,56208000000.0,6697000000.0,0.10791001,4040000000.0,0.0,0.10754,0.7675165286115966,12237000000.0,10389000000.0,39114000000.0,350000000.0,25472000000.0,2231000000.0,28438700000.0,0.4658441606178748
カプコン,9697,情報・通信業,プライム（内国株式）,JP,2025-03-31,大阪府,1316764647424.0,5.2620583,23.170912,21.692392,26.818092158050476,0.2895,0.013346043,145.12,135.86,103.70624416123373,169604000000.0,65777000000.0,0.43813,48453000000.0,0.0,,0.723054360953665,86679000000.0,69478000000.0,262082000000.0,11916000000.0,166783000000.0,,175403000000.0,0.13320755561226727
クレオ,9698,情報・通信業,スタンダード（内国株式）,JP,2025-03-31,東京都,9352440832.0,1.2652792,,11.990074,11.489738841036873,0.5065,0.042218544,100.75,,90.21137393054856,14521000000.0,1136000000.0,0.06447,696000000.0,0.053340003,0.108430006,0.7337870296236989,2660000000.0,2389000000.0,8499000000.0,,5621000000.0,133000000.0,5932100000.0,0.63428361713906
ニシオホールディングス,9699,サービス業,プライム（内国株式）,JP,2025-09-30,大阪府,125347356672.0,0.9036389,9.42392,10.351943,9.575160561504157,0.30040002,0.028950276,436.15,479.1,417.6700013049712,214953000000.0,19610000000.0,0.09974,12109000000.0,0.0,0.08562,0.46602480648319156,156976000000.0,87655000000.0,122957000000.0,96263000000.0,62203000000.0,2292000000.0,-32414600000.0,-0.2585981935368626
東京會舘,9701,サービス業,スタンダード（内国株式）,JP,2025-03-31,東京都,15242280960.0,2.058752,,17.123161,9.092598834622416,0.1112,0.005393743,269.81,,459.6708931476041,15273384000.0,1275489000.0,0.07293,889486000.0,-0.03728,-0.04704,0.398484111735364,16540446000.0,3022380000.0,7765141000.0,12397482000.0,3410697000.0,4934192000.0,-5321370600.0,-0.34911904681226924
アイ・エス・ビー,9702,情報・通信業,プライム（内国株式）,JP,2024-12-31,東京都,21252386816.0,1.463462,,14.792947,7.449719525334457,0.4389,0.029617663,125.33,,177.8013993863961,,,0.06386,,0.03876,0.1024,0.6820143360240735,6296354000.0,5785968000.0,16257509000.0,120000000.0,8975183000.0,545593000.0,10343070100.0,0.4866780465436076
アゴーラ　ホスピタリティー　グループ,9704,サービス業,スタンダード（内国株式）,JP,2024-12-31,東京都,12268382208.0,2.1625688,,9.62343,-39.06627334323247,0.0,0.0,4.78,,-0.5887431288345383,8377563000.0,501928000.0,0.05356,108066000.0,0.12858,0.19904,0.1842221085142262,14006263000.0,5746275000.0,5382835000.0,8938938000.0,2869712000.0,119750000.0,-8539603000.0,-0.6960659404979633
日本空港ビルデング,9706,不動産業,プライム（内国株式）,JP,2025-03-31,東京都,495117107200.0,2.4570343,24.713896,17.15278,28.04162503579615,0.3214,0.018389113,310.97,215.83,206.7499993181706,269921000000.0,38783000000.0,0.187,27470000000.0,0.10840999,0.21711001,0.39872328201636326,271610000000.0,69053000000.0,130933000000.0,206395000000.0,85908000000.0,22766000000.0,-124740800000.0,-0.251942011669598
帝国ホテル,9708,サービス業,スタンダード（内国株式）,JP,2025-03-31,東京都,166960840704.0,3.5337548,88.1875,58.47493,33.93715738398359,0.2493,0.004207574,24.13,16.0,28.460000068263547,52610000000.0,1591000000.0,0.13567,2585000000.0,0.055219997,0.06631,0.656879218935597,23687000000.0,7545000000.0,27785000000.0,,11444000000.0,5822000000.0,8173400000.0,0.04895399403558576
ＮＣＳ＆Ａ,9709,情報・通信業,スタンダード（内国株式）,JP,2025-03-31,大阪府,24543193088.0,1.8175951,,10.235721,7.8968225181948855,0.413,0.024645718,157.39,,95.57513372309988,20493251000.0,1993829000.0,0.11338,2109184000.0,0.12043,0.20321,0.6672683836401837,7094056000.0,4846060000.0,17250339000.0,29966000.0,11153862000.0,1100280000.0,10926479000.0,0.4451938653957103
